Table,Cycle,Start Date,Segment number,Single-Character Flag,Sequence Number,Element,Element.1,Element.2,Element.3,Element.4,Element.5,Element.6,Element.7,Element.8,Element.9,Value
CE7A000,A000YA1010,1/1/2014,1,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,2,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,3,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,4,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,5,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,6,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,7,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,8,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,9,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,10,R,1,1010,,,,,,,,,,100.0
CE7A000,A000YA1010,1/1/2014,11,R,1,1010,,,,,,,,,,100.0
